GEOID,ct_x,ct_y
48157,-95.77092468,29.52750733
55047,-89.0448774,43.80038043
30073,-112.226632,48.22795251
55127,-88.54191007,42.66848515
32021,-118.4352132,38.53880939
17057,-90.20745302,40.47277338
36103,-72.68523557,40.94045986
18161,-84.92515432,39.62554011
29119,-94.34835942,36.62866297
31157,-103.7079408,41.85060416
35047,-104.8159907,35.48061411
1081,-85.35556214,32.60112972
48367,-97.80510639,32.77765276
38021,-98.5046985,46.11011327
38003,-98.07156701,46.93610038
27143,-94.23217248,44.57948383
13293,-84.29932933,32.88134059
6097,-122.922549,38.52527999
26033,-84.52937364,46.32816964
16019,-111.6147504,43.38774146
13013,-83.71277263,33.9931909
13183,-81.74584835,31.75254712
48271,-100.4179545,29.3502057
40115,-94.81043986,36.83550394
42033,-78.47406952,41.00018565
26037,-84.60152204,42.94364942
72133,-66.38675946,17.95303021
17135,-89.47889277,39.23104288
28003,-88.58025266,34.88077382
28071,-89.48493544,34.35670793
22043,-92.55950405,31.59966393
29005,-95.4280801,40.43085283
17115,-88.96159766,39.85997807
26149,-85.52774468,41.91442403
17055,-88.92414195,37.99229317
30033,-106.9928742,47.27761079
31001,-98.50118908,40.52445078
27109,-92.40177817,44.00374755
34039,-74.30813512,40.65987776
72139,-65.99888576,18.33611942
1097,-88.19752756,30.68517764
46087,-97.36845632,43.67430247
1057,-87.73884412,33.72119287
1017,-85.39201474,32.91434737
37131,-77.39691229,36.41770082
8081,-108.2072936,40.61841743
21087,-85.55312846,37.264097
18047,-85.06025101,39.41487194
37013,-76.84521985,35.4869668
72073,-66.58831132,18.21073307
38015,-100.4687187,46.97740378
37159,-80.52475978,35.6394776
26071,-88.53052634,46.20865999
27067,-95.0047407,45.15237389
21237,-83.49324457,37.73935081
48149,-96.9197609,29.87679388
46081,-103.7922337,44.35863307
23029,-67.60907104,44.96947572
48045,-101.2086023,34.53026045
26131,-89.43473563,47.0221861
28015,-89.92017543,33.44849493
41003,-123.4292247,44.49181287
27133,-96.25320115,43.6746152
42063,-79.08753427,40.65206362
22061,-92.66475862,32.60164643
42099,-77.26235451,40.39837213
46137,-101.6658748,44.98042314
48203,-94.37148676,32.54813807
26013,-88.3521912,46.69969551
40131,-95.60435147,36.37158452
29019,-92.30965277,38.99059442
72097,-67.60509863,18.18309749
40015,-98.37514173,35.17436695
8059,-105.2504776,39.58648734
54011,-82.2417227,38.42025173
48383,-101.5230081,31.36618892
5141,-92.515689,35.58063604
8117,-106.1163752,39.63421444
20035,-96.83747923,37.23774808
5071,-93.45988981,35.57008004
36041,-74.49735424,43.66110318
51045,-80.21139882,37.48168786
48083,-99.45364548,31.77317069
2290,-151.3896063,65.50864956
4017,-110.3214049,35.3995455
28085,-90.45398446,31.53238496
48357,-100.815649,36.27840033
